
Matthew 
1:1	A roll of the birth of Jesus Christ, son of David, son of Abraham. 
20:24	And the ten having heard, were much displeased with the two brothers, 
20:25	and Jesus having called them near, said, 'Ye have known that the rulers of the nations do exercise lordship over them, and those great do exercise authority over them, 
20:26	but not so shall it be among you, but whoever may will among you to become great, let him be your ministrant; 
20:27	and whoever may will among you to be first, let him be your servant; 
20:28	even as the Son of Man did not come to be ministered to, but to minister, and to give his life a ransom for many.' 
20:29	And they going forth from Jericho, there followed him a great multitude, 
20:30	and lo, two blind men sitting by the way, having heard that Jesus doth pass by, cried, saying, 'Deal kindly with us, sir -- Son of David.' 
20:31	And the multitude charged them that they might be silent, and they cried out the more, saying, 'Deal kindly with us sir -- Son of David.' 
20:32	And having stood, Jesus called them, and said, 'What will ye that I may do to you?' 
20:33	they say to him, 'Sir, that our eyes may be opened;' 
20:34	and having been moved with compassion, Jesus touched their eyes, and immediately their eyes received sight, and they followed him. 
21:1	And when they came nigh to Jerusalem, and came to Bethphage, unto the mount of the Olives, then Jesus sent two disciples, 
21:2	saying to them, 'Go on to the village over-against you, and immediately ye shall find an ass bound, and a colt with her -- having loosed, bring ye to me; 
21:3	and if anyone may say anything to you, ye shall say, that the lord hath need of them, and immediately he will send them.' 
21:4	And all this came to pass, that it might be fulfilled that was spoken through the prophet, saying, 
21:5	'Tell ye the daughter of Zion, Lo, thy king doth come to thee, meek, and mounted on an ass, and a colt, a foal of a beast of burden.' 
21:6	And the disciples having gone and having done as Jesus commanded them, 
21:7	brought the ass and the colt, and did put on them their garments, and set him upon them; 
21:8	and the very great multitude spread their own garments in the way, and others were cutting branches from the trees, and were strewing in the way, 
21:9	and the multitudes who were going before, and who were following, were crying, saying, 'Hosanna to the Son of David, blessed is he who is coming in the name of the Lord; Hosanna in the highest.' 
21:10	And he having entered into Jerusalem, all the city was moved, saying, 'Who is this?' 
21:11	And the multitudes said, 'This is Jesus the prophet, who is from Nazareth of Galilee.' 
21:12	And Jesus entered into the temple of God, and did cast forth all those selling and buying in the temple, and the tables of the money-changers he overturned, and the seats of those selling the doves, 
21:13	and he saith to them, 'It hath been written, My house a house of prayer shall be called, but ye did make it a den of robbers.' 
21:14	And there came to him blind and lame men in the temple, and he healed them, 
21:15	and the chief priests and the scribes having seen the wonderful things that he did, and the children crying in the temple, and saying, 'Hosanna to the Son of David,' were much displeased; 
21:16	and they said to him, 'Hearest thou what these say?' And Jesus saith to them, 'Yes, did ye never read, that, Out of the mouth of babes and sucklings Thou didst prepare praise?' 
21:17	And having left them, he went forth out of the city to Bethany, and did lodge there, 
21:18	and in the morning turning back to the city, he hungered, 
21:19	and having seen a certain fig-tree on the way, he came to it, and found nothing in it except leaves only, and he saith to it, 'No more from thee may fruit be -- to the age;' and forthwith the fig-tree withered. 
21:20	And the disciples having seen, did wonder, saying, 'How did the fig-tree forthwith wither?' 
21:21	And Jesus answering said to them, 'Verily I say to you, If ye may have faith, and may not doubt, not only this of the fig-tree shall ye do, but even if to this mount ye may say, Be lifted up and be cast into the sea, it shall come to pass; 
21:22	and all -- as much as ye may ask in the prayer, believing, ye shall receive.' 
21:23	And he having come to the temple, there came to him when teaching the chief priests and the elders of the people, saying, 'By what authority dost thou do these things? and who gave thee this authority?' 
21:24	And Jesus answering said to them, 'I will ask you -- I also -- one word, which if ye may tell me, I also will tell you by what authority I do these things; 
21:25	the baptism of John, whence was it? -- from heaven, or from men?' And they were reasoning with themselves, saying, 'If we should say, From heaven; he will say to us, Wherefore, then, did ye not believe him? 
21:26	and if we should say, From men, we fear the multitude, for all hold John as a prophet.' 
21:27	And answering Jesus they said, 'We have not known.' He said to them -- he also -- 'Neither do I tell you by what authority I do these things. 
21:28	'And what think ye? A man had two children, and having come to the first, he said, Child, go, to-day be working in my vineyard.' 
21:29	And he answering said, 'I will not,' but at last, having repented, he went. 
21:30	'And having come to the second, he said in the same manner, and he answering said, I go, sir, and went not; 
21:31	which of the two did the will of the father?' They say to him, 'The first.' Jesus saith to them, 'Verily I say to you, that the tax-gatherers and the harlots do go before you into the reign of God, 
21:32	for John came unto you in the way of righteousness, and ye did not believe him, and the tax-gatherers and the harlots did believe him, and ye, having seen, repented not at last -- to believe him. 
21:33	'Hear ye another simile: There was a certain man, a householder, who planted a vineyard, and did put a hedge round it, and digged in it a wine-press, and built a tower, and gave it out to husbandmen, and went abroad. 
21:34	'And when the season of the fruits came nigh, he sent his servants unto the husbandmen, to receive the fruits of it, 
21:35	and the husbandmen having taken his servants, one they scourged, and one they killed, and one they stoned. 
21:36	'Again he sent other servants more than the first, and they did to them in the same manner. 
21:37	'And at last he sent unto them his son, saying, They will reverence my son; 
